fold,model,rmse,mae
1,PMF,0.885664701461792,0.6815975904464722
1,UserCF (MSD),0.9634826183319092,0.741283655166626
1,ItemCF (MSD),1.5613865852355957,1.1587920188903809
2,PMF,0.8831130862236023,0.6797695159912109
2,UserCF (MSD),0.9542933702468872,0.7322246432304382
2,ItemCF (MSD),1.5442978143692017,1.1511924266815186
3,PMF,0.8901574015617371,0.6863061785697937
3,UserCF (MSD),0.9644325971603394,0.7420066595077515
3,ItemCF (MSD),1.5308928489685059,1.1357932090759277
4,PMF,0.8831493258476257,0.6788544654846191
4,UserCF (MSD),0.9591392874717712,0.7344658970832825
4,ItemCF (MSD),1.564457654953003,1.1662917137145996
5,PMF,0.8927724361419678,0.688323438167572
5,UserCF (MSD),0.9588478207588196,0.7391358613967896
5,ItemCF (MSD),1.5564743280410767,1.1454249620437622
